A-k

QoS,BE
SRC, DST,,SEND, DROP, DROP %,, DROPs,1,2
7,2,,830,9,1.08434,,,6,0
7,3,,855,1,0.116959,,,1,0
7,4,,793,0,0,,,0,0
7,5,,798,1,0.125313,,,1,0
7,6,,830,1,0.120482,,,1,0
7,8,,858,2,0.2331,,,2,0
7,9,,814,2,0.2457,,,2,0
8,1,,818,3,0.366748,,,2,0
8,2,,833,3,0.360144,,,2,0
8,3,,813,7,0.861009,,,5,0
8,4,,770,1,0.12987,,,1,0
8,5,,893,1,0.111982,,,1,0
8,6,,797,1,0.125471,,,1,0
8,7,,775,0,0,,,0,0
8,9,,788,0,0,,,0,0
9,1,,789,0,0,,,0,0
9,2,,827,4,0.483676,,,3,0
9,3,,834,3,0.359712,,,3,0
9,4,,786,6,0.763359,,,6,0
9,5,,804,3,0.373134,,,1,0
9,6,,818,1,0.122249,,,1,0
9,7,,877,2,0.22805,,,2,0
9,8,,864,0,0,,,0,0
