

QoS,BE
SRC, DST, CEPID,,SEND, DROP, DROP %,,MIN DELAY,AVG DELAY,MAX DELAY,,MIN JITTER,AVG JITTER,MAX JITTER
1,2,94,,1,0,0,,1.00336,1.00336,1.00336,,9.22337e+09,-nan,0
1,2,95,,1,0,0,,1.00176,1.00176,1.00176,,9.22337e+09,-nan,0
1,2,96,,1,0,0,,1.00179,1.00179,1.00179,,9.22337e+09,-nan,0
1,2,97,,1,0,0,,1.00148,1.00148,1.00148,,9.22337e+09,-nan,0
1,2,98,,1,0,0,,1.00349,1.00349,1.00349,,9.22337e+09,-nan,0
1,2,99,,1,0,0,,1.00224,1.00224,1.00224,,9.22337e+09,-nan,0
1,2,100,,1,0,0,,1.0033,1.0033,1.0033,,9.22337e+09,-nan,0
1,2,101,,1,0,0,,1.00196,1.00196,1.00196,,9.22337e+09,-nan,0
1,2,102,,1,0,0,,1.00209,1.00209,1.00209,,9.22337e+09,-nan,0
1,2,103,,1,0,0,,1.00153,1.00153,1.00153,,9.22337e+09,-nan,0
1,2,104,,1,0,0,,1.00186,1.00186,1.00186,,9.22337e+09,-nan,0
1,2,105,,1,0,0,,1.00194,1.00194,1.00194,,9.22337e+09,-nan,0
1,2,106,,1,0,0,,1.00164,1.00164,1.00164,,9.22337e+09,-nan,0
1,2,107,,1,0,0,,1.00294,1.00294,1.00294,,9.22337e+09,-nan,0
1,2,108,,1,0,0,,1.00267,1.00267,1.00267,,9.22337e+09,-nan,0
1,2,109,,1,0,0,,1.00127,1.00127,1.00127,,9.22337e+09,-nan,0
1,2,110,,1,0,0,,1.00231,1.00231,1.00231,,9.22337e+09,-nan,0
1,2,111,,1,0,0,,1.00288,1.00288,1.00288,,9.22337e+09,-nan,0
1,2,112,,1,0,0,,1.00353,1.00353,1.00353,,9.22337e+09,-nan,0
1,2,113,,1,0,0,,1.00147,1.00147,1.00147,,9.22337e+09,-nan,0
1,2,114,,1,0,0,,1.00246,1.00246,1.00246,,9.22337e+09,-nan,0
1,2,115,,1,0,0,,1.00224,1.00224,1.00224,,9.22337e+09,-nan,0
1,2,116,,1,0,0,,1.00373,1.00373,1.00373,,9.22337e+09,-nan,0
1,2,117,,1,0,0,,1.0013,1.0013,1.0013,,9.22337e+09,-nan,0
1,2,118,,1,0,0,,1.00135,1.00135,1.00135,,9.22337e+09,-nan,0
1,2,119,,1,0,0,,1.00235,1.00235,1.00235,,9.22337e+09,-nan,0
1,2,120,,1,0,0,,1.00352,1.00352,1.00352,,9.22337e+09,-nan,0
1,2,121,,1,0,0,,1.00503,1.00503,1.00503,,9.22337e+09,-nan,0
1,2,122,,1,0,0,,1.00136,1.00136,1.00136,,9.22337e+09,-nan,0
1,2,123,,1,0,0,,1.00352,1.00352,1.00352,,9.22337e+09,-nan,0
1,2,124,,1,0,0,,1.00143,1.00143,1.00143,,9.22337e+09,-nan,0
1,2,125,,1,0,0,,1.00367,1.00367,1.00367,,9.22337e+09,-nan,0
1,2,126,,1,0,0,,1.00144,1.00144,1.00144,,9.22337e+09,-nan,0
1,2,127,,1,0,0,,1.00151,1.00151,1.00151,,9.22337e+09,-nan,0
1,2,128,,1,0,0,,1.00226,1.00226,1.00226,,9.22337e+09,-nan,0
1,2,129,,1,0,0,,1.0015,1.0015,1.0015,,9.22337e+09,-nan,0
1,2,130,,1,0,0,,1.00208,1.00208,1.00208,,9.22337e+09,-nan,0
1,2,131,,1,0,0,,1.00282,1.00282,1.00282,,9.22337e+09,-nan,0
1,2,132,,1,0,0,,1.00239,1.00239,1.00239,,9.22337e+09,-nan,0
1,2,133,,1,0,0,,1.00289,1.00289,1.00289,,9.22337e+09,-nan,0
1,2,134,,1,0,0,,1.00226,1.00226,1.00226,,9.22337e+09,-nan,0
1,2,135,,1,0,0,,1.00269,1.00269,1.00269,,9.22337e+09,-nan,0
1,2,136,,1,0,0,,1.0025,1.0025,1.0025,,9.22337e+09,-nan,0
1,2,137,,1,0,0,,1.0032,1.0032,1.0032,,9.22337e+09,-nan,0
1,2,138,,1,0,0,,1.00261,1.00261,1.00261,,9.22337e+09,-nan,0
1,2,139,,1,0,0,,1.00219,1.00219,1.00219,,9.22337e+09,-nan,0
1,2,140,,1,0,0,,1.00249,1.00249,1.00249,,9.22337e+09,-nan,0
1,2,141,,1,0,0,,1.00214,1.00214,1.00214,,9.22337e+09,-nan,0
1,2,142,,1,0,0,,1.00318,1.00318,1.00318,,9.22337e+09,-nan,0
1,2,143,,1,0,0,,1.00171,1.00171,1.00171,,9.22337e+09,-nan,0
1,2,144,,1,0,0,,1.00161,1.00161,1.00161,,9.22337e+09,-nan,0
1,2,145,,1,0,0,,1.00304,1.00304,1.00304,,9.22337e+09,-nan,0
1,2,146,,1,0,0,,1.00327,1.00327,1.00327,,9.22337e+09,-nan,0
1,2,147,,1,0,0,,1.00243,1.00243,1.00243,,9.22337e+09,-nan,0
1,2,148,,1,0,0,,1.00263,1.00263,1.00263,,9.22337e+09,-nan,0
1,2,149,,1,0,0,,1.0017,1.0017,1.0017,,9.22337e+09,-nan,0
1,2,150,,1,0,0,,1.00201,1.00201,1.00201,,9.22337e+09,-nan,0
1,2,151,,1,0,0,,1.00139,1.00139,1.00139,,9.22337e+09,-nan,0
1,2,152,,1,0,0,,1.00159,1.00159,1.00159,,9.22337e+09,-nan,0
1,2,153,,1,0,0,,1.00339,1.00339,1.00339,,9.22337e+09,-nan,0
1,2,154,,1,0,0,,1.00357,1.00357,1.00357,,9.22337e+09,-nan,0
1,2,155,,1,0,0,,1.00562,1.00562,1.00562,,9.22337e+09,-nan,0
1,2,156,,1,0,0,,1.00171,1.00171,1.00171,,9.22337e+09,-nan,0
1,2,157,,1,0,0,,1.00196,1.00196,1.00196,,9.22337e+09,-nan,0
1,2,158,,1,0,0,,1.00334,1.00334,1.00334,,9.22337e+09,-nan,0
1,2,159,,1,0,0,,1.00213,1.00213,1.00213,,9.22337e+09,-nan,0
1,2,160,,1,0,0,,1.0033,1.0033,1.0033,,9.22337e+09,-nan,0
1,2,161,,1,0,0,,1.00248,1.00248,1.00248,,9.22337e+09,-nan,0
1,2,162,,1,0,0,,1.002,1.002,1.002,,9.22337e+09,-nan,0
1,2,163,,1,0,0,,1.00294,1.00294,1.00294,,9.22337e+09,-nan,0
1,2,164,,1,0,0,,1.00247,1.00247,1.00247,,9.22337e+09,-nan,0
1,2,165,,1,0,0,,1.00216,1.00216,1.00216,,9.22337e+09,-nan,0
1,2,166,,1,0,0,,1.00305,1.00305,1.00305,,9.22337e+09,-nan,0
1,2,167,,1,0,0,,1.00317,1.00317,1.00317,,9.22337e+09,-nan,0
